source_id,title,authors,year,source_type,venue,url_or_doi,raw_path,processed_path,tags,relevance_note
s2468867319_2019,Long-term aerobic exercise preserves muscle mass and function with age,Jaime L Laurin,2019,journal_article,Current Opinion in Physiology,10.1016/j.cophys.2019.07.004,data/raw/1-s2.0-S2468867319300720-main.pdf,data/processed/chunks.jsonl,"exercise, muscle mass, aging, aerobic training, longevity",Reviews how long-term aerobic exercise preserves skeletal muscle mass and function during aging
s2589537025_2025,"Minimum combined sleep, physical activity, and nutrition variations associated with lifeSPAN and healthSPAN improvements: a population cohort study",Nicholas A. Koemel,2025,journal_article,eClinicalMedicine,10.1016/j.eclinm.2025.103741,data/raw/1-s2.0-S2589537025006765-main.pdf,data/processed/chunks.jsonl,"sleep, physical activity, nutrition, lifespan, healthspan, cohort study",Population cohort study on combined lifestyle factors and their association with lifespan and healthspan
barry_2014,Fitness vs. Fatness on All-Cause Mortality: A Meta-Analysis,Vaughn W. Barry,2014,journal_article,Progress in Cardiovascular Diseases,10.1016/j.pcad.2013.09.002,data/raw/Barry2014.pdf,data/processed/chunks.jsonl,"fitness, fatness, mortality, meta-analysis, cardiovascular",Meta-analysis comparing the relative effects of cardiorespiratory fitness vs adiposity on all-cause mortality
brandhorst_2024,Fasting-mimicking diet causes hepatic and blood markers changes indicating reduced biological age and disease risk,Sebastian Brandhorst,2024,journal_article,Nature Communications,10.1038/s41467-024-45260-9,data/raw/Brandhorst2024.pdf,data/processed/chunks.jsonl,"fasting-mimicking diet, biological age, disease risk, hepatic markers",Clinical trial showing fasting-mimicking diet reduces biological age markers and disease risk factors
ju_2016,Autophagy plays a role in skeletal muscle mitochondrial biogenesis in an endurance exercise-trained condition,Jeong-sun Ju,2016,journal_article,The Journal of Physiological Sciences,10.1007/s12576-016-0440-9,data/raw/Ju2016.pdf,data/processed/chunks.jsonl,"autophagy, mitochondrial biogenesis, exercise, skeletal muscle",Examines the role of autophagy in exercise-induced mitochondrial biogenesis in skeletal muscle
cell_2023,Biomarkers of aging for the identification and evaluation of longevity interventions,Mahdi Moqri,2023,journal_article,Cell,10.1016/j.cell.2023.08.003,data/raw/PIIS0092867423008577.pdf,data/processed/chunks.jsonl,"biomarkers, aging, longevity interventions, evaluation frameworks",Comprehensive review of aging biomarkers and frameworks for evaluating longevity interventions
rattan_2022,"Nutrition, Food and Diet in Health and Longevity: We Eat What We Are","Suresh I. S. Rattan, Gurcharan Kaur",2022,journal_article,Nutrients,10.3390/nu14245376,data/raw/Rattan2022.pdf,data/processed/chunks.jsonl,"nutrition, diet, longevity, food quality, healthy aging",Reviews the role of nutrition and dietary patterns in promoting health and longevity
stamatakis_2025,"Minimum and optimal combined variations in sleep, physical activity, and nutrition in relation to all-cause mortality risk",Emmanuel Stamatakis,2025,journal_article,BMC Medicine,10.1186/s12916-024-03833-x,data/raw/Stamatakis2025.pdf,data/processed/chunks.jsonl,"sleep, physical activity, nutrition, mortality, lifestyle combinations",Identifies minimum and optimal lifestyle factor combinations for reducing all-cause mortality
biology_2019,Mitochondria and Aging—The Role of Exercise as a Countermeasure,"Mats I Nilsson, Mark A Tarnopolsky",2019,journal_article,Biology,10.3390/biology8020040,data/raw/biology-08-00040.pdf,data/processed/chunks.jsonl,"mitochondria, aging, exercise, countermeasure, oxidative stress",Reviews how exercise counteracts age-related mitochondrial dysfunction
cells_2022,Molecular Mechanisms of Exercise and Healthspan,"Yuntian Guan, Zhen Yan",2022,journal_article,Cells,10.3390/cells11050872,data/raw/cells-11-00872.pdf,data/processed/chunks.jsonl,"exercise, healthspan, molecular mechanisms, chronic disease prevention",Reviews molecular pathways through which exercise extends healthspan and prevents chronic diseases
f1000_2016,Dietary restriction with and without caloric restriction for healthy aging,"Changhan Lee, Valter Longo",2016,journal_article,F1000Research,10.12688/f1000research.7136.1,data/raw/f1000research-5-7686.pdf,data/processed/chunks.jsonl,"dietary restriction, caloric restriction, aging, fasting",Compares dietary restriction approaches with and without caloric restriction for healthy aging
furrer_handschin_2025,Biomarkers of aging: from molecules and surrogates to physiology and function,"Regula Furrer, Christoph Handschin",2025,journal_article,Physiological Reviews,10.1152/physrev.00045.2024,data/raw/furrer-handschin-2025-biomarkers-of-aging-from-molecules-and-surrogates-to-physiology-and-function.pdf,data/processed/chunks.jsonl,"biomarkers, aging, physiology, functional assessment, longevity",Comprehensive review of aging biomarkers from molecular to functional levels
kwaa_2020,"Integrating Sleep, Physical Activity, and Diet Quality to Estimate All-Cause Mortality Risk",Multiple authors (see PDF),2020,journal_article,American Journal of Epidemiology,10.1093/aje/kwaa057,data/raw/kwaa057.pdf,data/processed/chunks.jsonl,"sleep, physical activity, diet quality, mortality, NHANES, compositional analysis",Uses compositional analysis to estimate mortality risk from combined sleep/activity/diet patterns
nutrients_2023a,Epigenetic Biomarkers of Metabolic Responses to Lifestyle Interventions,Omar Ramos-Lopez,2023,journal_article,Nutrients,10.3390/nu15194251,data/raw/nutrients-15-04251.pdf,data/processed/chunks.jsonl,"epigenetics, biomarkers, metabolism, lifestyle interventions",Reviews epigenetic biomarkers that track metabolic responses to lifestyle changes
nutrients_2024,"Molecular Mechanisms of Healthy Aging: The Role of Caloric Restriction, Intermittent Fasting, Mediterranean Diet, and Ketogenic Diet—A Scoping Review","Roxana Surugiu, Mihaela Adela Iancu, Stefanita Bianca Vintilescu, Mioara Desdemona Stepan, Daiana Burdusel, Amelia Valentina Genunche-Dumitrescu, Carmen-Adriana Dogaru, Gheorghe Gindrovel Dumitra",2024,journal_article,Nutrients,10.3390/nu16172878,data/raw/nutrients-16-02878.pdf,data/processed/chunks.jsonl,"caloric restriction, intermittent fasting, Mediterranean diet, ketogenic diet, aging mechanisms",Scoping review of molecular mechanisms behind dietary interventions for healthy aging
nutrients_2025,"The Power of Environment: A Comprehensive Review of the Exposome's Role in Healthy Aging, Longevity, and Preventive Medicine—Lessons from Blue Zones and Cilento","Silvana Mirella Aliberti, Mario Capunzo",2025,journal_article,Nutrients,10.3390/nu17040722,data/raw/nutrients-17-00722.pdf,data/processed/chunks.jsonl,"environment, exposome, Blue Zones, longevity, preventive medicine",Reviews environmental and lifestyle factors from Blue Zones that contribute to longevity
mol_bio_rep_2025,Molecular crosstalk for longevity: exercise and the AMPK/SIRT1/PGC-1α/Irisin/BDNF axis,RAL De Sousa,2025,journal_article,Molecular Biology Reports,10.1007/s11033-025-11315-3,data/raw/s11033-025-11315-3.pdf,data/processed/chunks.jsonl,"AMPK, SIRT1, PGC-1alpha, irisin, BDNF, exercise, molecular signaling",Reviews molecular signaling pathways activated by exercise that promote longevity
diabetol_metab_2025,Effects of concurrent continuous aerobic and short rest resistance exercise training on metabolic biomarkers and physical fitness in adults with type 2 diabetes,"Friew Amare, Alemmebrat Kiflu, Aschenaki Taddese",2025,journal_article,Diabetology & Metabolic Syndrome,10.1186/s13098-025-01838-x,data/raw/s13098-025-01838-x.pdf,data/processed/chunks.jsonl,"exercise, diabetes, metabolic biomarkers, aerobic training, resistance training",Clinical study on combined exercise effects on metabolic markers in type 2 diabetes patients